RANK,NAME,TEAM,CUR,POS,AGE,GP,MpG,USG%,TO%,FTA,FT%,2PA,2P%,3PA,3P%,eFG%,TS%,PpG,RpG,ApG,SpG,BpG,TOpG,P+R,P+A,P+R+A,VI,ORtg,DRtg
,Bryce McGowens,Nor,*,G,23.0,4,4.5,16.0,18.4,4,1.0,3,0.333,1,0.0,0.25,0.521,1.5,0.0,0.8,0.3,0.0,0.3,1.5,2.3,2.3,0.0,115.1,123.3
,Ja'Kobe Walter,Tor,*,G,21.2,10,12.0,14.8,20.3,7,0.857,9,0.444,22,0.273,0.419,0.469,3.2,1.3,0.6,0.7,0.1,0.8,4.5,3.8,5.1,4.5,92.0,103.9
,Hunter Tyson,Den,*,F,25.4,5,3.5,17.0,0.0,0,0.0,3,0.0,4,0.0,0.0,0.0,0.0,2.0,0.0,0.2,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
,Caleb Love,Por,*,G,24.1,4,7.7,26.0,5.0,0,0.0,8,0.375,11,0.273,0.395,0.395,3.8,2.0,1.5,0.0,0.0,0.3,5.8,5.3,7.3,11.7,100.4,117.5
,Sidy Cissoko,Por,*,G,21.6,7,11.0,8.4,7.0,5,0.6,9,0.667,4,0.25,0.577,0.592,2.6,1.6,0.7,0.3,0.0,0.1,4.1,3.3,4.9,5.2,137.5,106.5
,Nick Smith Jr.,Lal,*,G,21.6,6,15.0,23.2,21.1,3,0.667,19,0.421,18,0.444,0.541,0.548,7.0,1.0,2.2,0.7,0.2,1.7,8.0,9.2,10.2,6.6,96.1,115.0
,Trendon Watford,Phi,*,G-F,25.0,9,21.6,17.2,18.0,19,0.737,47,0.553,12,0.417,0.568,0.601,9.0,4.8,3.7,0.3,0.2,1.4,13.8,12.7,17.4,10.1,123.5,106.7
,Jamir Watkins,Was,*,F,24.4,3,7.0,9.8,20.0,0,0.0,3,1.0,1,0.0,0.75,0.75,2.0,2.0,0.0,0.0,0.3,0.3,4.0,2.0,4.0,0.0,117.7,105.5
,Myron Gardner,Mia,*,F,24.5,1,2.7,15.1,0.0,0,0.0,0,0.0,1,1.0,1.5,1.5,3.0,1.0,1.0,0.0,0.0,0.0,4.0,4.0,5.0,21.4,0.0,0.0
,Mohamed Diawara,Nyk,*,F,20.6,6,2.5,16.1,20.0,2,0.0,3,0.667,1,1.0,0.875,0.717,1.2,0.2,0.2,0.0,0.0,0.2,1.3,1.3,1.5,5.8,0.0,0.0
